collegeId,collegeName,type,accreditation,rankingTier,state,district,region,address,website,rating,latitude,longitude,searchKeywords
UGC-1-593,"""Kaushalya"" the Skill University",State University,UGC 2(f),Unranked,Gujarat,,India,"Mahatma Gandhi Labour Institute (MGLI), Drive-in Road, Memnagar, Ahmedabad 380052",,4.5,0,0,University|Degree|Higher Education
UGC-2-428,A.K.S. University,Private,UGC 2(f),Unranked,Madhya Pradesh,,India,"SherGanj, Satna 485001",,4.5,0,0,University|Degree|Higher Education
UGC-3-483,A.P.G. (Alakh Prakash Goyal) Shimla University,Private,UGC 2(f),Unranked,Himachal Pradesh,,India,"Shogi- Mehli Bypass Road, Shimla, H.P 171013 171009",,4.5,0,0,University|Degree|Higher Education
UGC-4-226,A.P.J. Abdul Kalam Technological University,State University,UGC 2(f),Unranked,Kerala,,India,"CET Campus, Alathara RdAmbady Nagar,Thiruvananthapuram 695016",,3.9,0,0,University|Degree|Higher Education
UGC-5-421,AAFT University of Media and Arts,Private,UGC 2(f),Unranked,Chhattisgarh,,India,"Vill-Maath, Tehsil-Tilda, Dist-Raipur 493225",,4,0,0,University|Degree|Higher Education
UGC-6-673,Abhilashi University,Private,UGC 2(f),Unranked,Himachal Pradesh,,India,"Chailchowk (Chaichiot)Tehsil chachyot, distt. Mandi 175045",,4.4,0,0,University|Degree|Higher Education
UGC-7-282,Abhyuday University,Private,UGC 2(f),Unranked,Madhya Pradesh,,India,"Garam Magriya, Khandwa Road, Khargone 451001",,4.3,0,0,University|Degree|Higher Education
UGC-8-535,Academy of Maritime Education and Training,Deemed,UGC Section-III,Unranked,Tamil Nadu,,India,"135, East Coast Road, Kanathur 603112",,4.4,0,0,University|Degree|Higher Education
UGC-9-766,Acharaya N.G.Ranga Agricultural University,State University,UGC 2(f),Unranked,Andhra Pradesh,,India,"Amaravathi Road,Lam, Guntur 522034",,4.4,0,0,University|Degree|Higher Education
UGC-10-89,Acharya Nagarjuna University,State University,UGC 2(f) & 12(B),Unranked,Andhra Pradesh,,India,"NH16,Nagarjuna Nagar,Guntur 522510",,4,0,0,University|Degree|Higher Education
UGC-11-692,Acharya Narendra Deva Krishi Evam Prodyogik Vishwavidyalaya,State University,UGC 2(f) & 12(B),Unranked,Uttar Pradesh,,India,"Kumarganj, FaizabadAyodhya 224229",,4,0,0,University|Degree|Higher Education
UGC-12-29,Adamas University,Private,UGC 2(f),Unranked,West Bengal,,India,"Barasat - Barrackpore Road, Barberia, PO Jagannathpur, PS Barasat, Kolkata 700126",,3.9,0,0,University|Degree|Higher Education
UGC-13-637,Adani University,Private,UGC 2(f),Unranked,Gujarat,,India,"Shantigram Township, Near Vaishnodevi Circle, Ahmedabad 382421",,3.8,0,0,University|Degree|Higher Education
UGC-14-28,Adesh University,Private,UGC 2(f),Unranked,Punjab,,India,"NH-7, Barnala Road, Bhucho, BathindaBathinda 151101",,4.1,0,0,University|Degree|Higher Education
UGC-15-912,Adichunchanagiri University,Private,UGC 2(f),Unranked,Karnataka,,India,"Campus: NH-75, Tq- Nagamangala, Dist- Mandya, B.G. Nagara- 571448   Off-Campus: BGS Vijnatham South Campus, Nagaruru, Dasanapura, Bangalore North-562123 571448",,4.4,0,0,University|Degree|Higher Education
UGC-16-476,Adikavi Nannaya University,State University,UGC 2(f) & 12(B),Unranked,Andhra Pradesh,,India,"Raja Raja Nagar, Rajamahendravaram, 533296",,4.4,0,0,University|Degree|Higher Education
UGC-17-828,Aditya University,Private,UGC 2(f),Unranked,Andhra Pradesh,,India,"Aditya Nagar, ADB Road, Surampalem, Kakinada 533437",,4.7,0,0,University|Degree|Higher Education
UGC-18-456,Agrawan Heritage University,Private,UGC 2(f),Unranked,Uttar Pradesh,,India,"Bamrauli Katara, Fatehabad Road, Agra 283125",,4,0,0,University|Degree|Higher Education
UGC-19-384,Agriculture University,State University,UGC 2(f),Unranked,Rajasthan,,India,"Mandore, Jodhpur 342304",,4.7,0,0,University|Degree|Higher Education
UGC-20-407,Agriculture University,State University,UGC 2(f),Unranked,Rajasthan,,India,"Borkhera, Post Box No. 20, GPO Nayapura, Kota 324001",,4.2,0,0,University|Degree|Higher Education
UGC-21-851,Ahmedabad University,Private,UGC 2(f) & 12(B),Unranked,Gujarat,,India,"Ahmedabad University, Commerce Six Roads, Navrangpura, Ahmedabad, GujaratAhmedabad 380009",,3.9,0,0,University|Degree|Higher Education
UGC-22-117,AIPH University,Private,UGC 2(f),Unranked,Odisha,,India,"APEX Building, Pahal, Bhubaneswar-Cuttack NH16On Bhubneshwar-Cuttack Road, NH-5Bhubneshwar 752101",,4,0,0,University|Degree|Higher Education
UGC-23-633,AISECT University,Private,UGC 2(f),Unranked,Jharkhand,,India,"Matwari Chowk, HazaribagMatwari, Distt.- HazaribagHazaribagh 825301",,4.1,0,0,University|Degree|Higher Education
UGC-24-898,Ajeenkya D.Y. Patil University,Private,UGC 2(f),Unranked,Maharashtra,,India,"Charholi BudrukVia Lohegaon, Pune 412105",,4.4,0,0,University|Degree|Higher Education
UGC-25-581,Akal University,Private,UGC 2(f),Unranked,Punjab,,India,Talwandi SaboDist. Bhathinda 151302,,4.4,0,0,University|Degree|Higher Education
UGC-26-171,Al-Falah University,Private,UGC 2(f),Unranked,Haryana,,India,Faridabad 121004,,3.9,0,0,University|Degree|Higher Education
UGC-27-300,Al-Karim University,Private,UGC 2(f),Unranked,Bihar,,India,"Sirsa, Karim Bagh, Katihar 854106",,4.1,0,0,University|Degree|Higher Education
UGC-28-314,Alagappa University,State University,UGC 2(f) & 12(B),Unranked,Tamil Nadu,,India,"Vallal Alagappar Valagam, KaraikudiKaraikudiSivaganga District 630003",,4.5,0,0,University|Degree|Higher Education
UGC-29-735,Alard University,Private,UGC 2(f),Unranked,Maharashtra,,India,"Alard Knowledge Park, Survey No. 47 and 50, Marunji, Near Rajiv Gandhi Park, IT Park, Hinjewadi, Pune 411057",,4.6,0,0,University|Degree|Higher Education
UGC-30-793,Aliah University,State University,UGC 2(f) & 12(B),Unranked,West Bengal,,India,"IIA/27, New Town, KolkataNew Town, Kolkata 700160",,4.7,0,0,University|Degree|Higher Education
UGC-31-283,Aligarh Muslim University,Central University,UGC 2(f) & 12(B),Unranked,Uttar Pradesh,,India,"Zainul Abidin Road,Aligarh 202001",,4.2,0,0,University|Degree|Higher Education
UGC-32-513,Alipurduar University,State University,UGC 2(f),Unranked,West Bengal,,India,"P. O. - Alipurduar Court,Dist. - Alipurduar 736122",,4.1,0,0,University|Degree|Higher Education
UGC-33-638,Alliance University,Private,UGC 2(f),Unranked,Karnataka,,India,"Chikkahagada Cross, Chandapura-Anekal Main Road, Bangalore 562106",,4.4,0,0,University|Degree|Higher Education
UGC-34-676,Amaltas University,Private,UGC 2(f),Unranked,Madhya Pradesh,,India,"Dewas, Dewas-Ujjain State Highway, Bangar, District-Dewas 455001",,4.4,0,0,University|Degree|Higher Education
UGC-35-547,Amity University,Private,UGC 2(f),Unranked,Karnataka,,India,"NH 648 (Old 207), Beerasandra, Alurududdhanahalli Post, Devanahalli Taluk, Bengaluru Rural District, 562110",,3.9,0,0,University|Degree|Higher Education
UGC-36-281,Amity University,Private,UGC 2(f),Unranked,Punjab,,India,"Sector-82 Alpha, IT City, S. A. A Nagar, Mohali 140306",,4.2,0,0,University|Degree|Higher Education
UGC-37-708,Amity University,Private,UGC 2(f),Unranked,Bihar,,India,"Rupaspur, Bailey Road, Patna 801503",,3.9,0,0,University|Degree|Higher Education
UGC-38-661,Amity University,Private,UGC 2(f),Unranked,Maharashtra,,India,"Mumbai-Pune Expressway,Bhatan,Post - Somathne,Panvel,Mumbai 410206",,4.7,0,0,University|Degree|Higher Education
UGC-39-726,Amity University,Private,UGC 2(f),Unranked,Chhattisgarh,,India,"Vill.: Manth (Kharora) ; Tehsil: Tilda ; Dist.: Raipur ; ChhattisgarhTehsil- Tilda, Dist.- Raipur 493225",,3.9,0,0,University|Degree|Higher Education
UGC-40-462,Amity University,Private,UGC 2(f),Unranked,West Bengal,,India,"Rajarhat,  New Town,  Dist. North 24 Parganas 700135",,4.1,0,0,University|Degree|Higher Education
UGC-41-578,Amity University,Private,UGC 2(f),Unranked,Jharkhand,,India,"Ranchi City Campus,Niwaranpur Adjoining Over Bridge, Main Road, Ranchi 834002",,4.3,0,0,University|Degree|Higher Education
UGC-42-909,Amity University,Private,UGC 2(f),Unranked,Rajasthan,,India,"SP-1, Kant Kalwar, RIICO Industrial Area, NH-11C, Jaipur, RajasthanAjmer Road, Jaipur 303002",,4.4,0,0,University|Degree|Higher Education
UGC-43-240,AMITY University,Private,UGC 2(f),Unranked,Uttar Pradesh,,India,"Plot No. 4, Gautam Buddha Nagar, Sector-125, Noida, Uttar Pradesh PIN 201313Gautam Budh Nagar 201313",,4.6,0,0,University|Degree|Higher Education
UGC-44-758,AMITY University,Private,UGC 2(f),Unranked,Haryana,,India,"Panchgaon, Manesar, Gurgaon (Haryana)Panchgaon, ManesarDistt.Gurgaon 122413",,3.9,0,0,University|Degree|Higher Education
UGC-45-529,Amity University,Private,UGC 2(f),Unranked,Madhya Pradesh,,India,"Maharajpura, Gwalior Gwalior 474005",,4.3,0,0,University|Degree|Higher Education
UGC-46-761,Amrapali University,Private,UGC 2(f),Unranked,Uttarakhand,,India,"Shiksha Nagar, Village-Lamachaur, Kaladhungi Road,  Haldwani, Nanital 263139",,3.9,0,0,University|Degree|Higher Education
UGC-47-428,Amrita Vishwa Vidyapeetham,Deemed,UGC Section-III,Unranked,Tamil Nadu,,India,"Amritanagar, P.O., Ettimadai, Coimbatore 641112",,3.8,0,0,University|Degree|Higher Education
UGC-48-200,Anand Agricultural University,State University,UGC 2(f),Unranked,Gujarat,,India,"University Bhavan, Anand 388001",,4.7,0,0,University|Degree|Higher Education
UGC-49-743,Anant National University,Private,UGC 2(f),Unranked,Gujarat,,India,Sanskardham CampusBhopal-Ghuma-Sanand RoadAhmedabad 380015,,4.4,0,0,University|Degree|Higher Education
UGC-50-137,Andhra Kesari University,State University,UGC 2(f),Unranked,Andhra Pradesh,,India,"Pernamitta, Ongole, Prakasam District 523225",,4.2,0,0,University|Degree|Higher Education
UGC-51-918,Andhra Pradesh Fisheries University,State University,UGC 2(f),Unranked,Andhra Pradesh,,India,"Vihsal Residency, Padmaja Nagar, Tadigadapa, Vijawada 521134",,4.3,0,0,University|Degree|Higher Education
UGC-52-738,Andhra University,State University,UGC 2(f) & 12(B),Unranked,Andhra Pradesh,,India,"Waltair Junction,Visakhapatnam, 530003",,4.2,0,0,University|Degree|Higher Education
UGC-53-184,Anjaneya University,Private,UGC 2(f),Unranked,Chhattisgarh,,India,"Knowledge Village, Naradha, Raipur 493111",,4.5,0,0,University|Degree|Higher Education
UGC-54-178,Anna University,State University,UGC 2(f) & 12(B),Unranked,Tamil Nadu,,India,"Sardar Patel Road, Guindy, ChennaiGuindyChennai 600025",,4.3,0,0,University|Degree|Higher Education
UGC-55-650,Annamacharya University,Private,UGC 2(f),Unranked,Andhra Pradesh,,India,"New Boyanapalli, Rajampet Annamayya District, 516126",,4,0,0,University|Degree|Higher Education
UGC-56-323,Annamalai University,State University,UGC 2(f) & 12(B),Unranked,Tamil Nadu,,India,"Annamalainagar,Cuddalore 608002",,4.5,0,0,University|Degree|Higher Education
UGC-57-587,Anurag University,Private,UGC 2(f),Unranked,Telangana,,India,"Venkatapur(V)Ghatkesar(M)Medchal-Malkajigiri (Dist.), Hyderabad 500088",,4.5,0,0,University|Degree|Higher Education
UGC-58-357,Apeejay Stya University,Private,UGC 2(f) & 12(B),Unranked,Haryana,,India,"Sohna - Palwal Road, Sohna, Gurugram - 122103Gurgaon 122103",,4.1,0,0,University|Degree|Higher Education
UGC-59-694,Apex Professional University,Private,UGC 2(f),Unranked,Arunachal Pradesh,,India,"NH 52, 2nd Mile, Gumin Nagar 791102",,4.3,0,0,University|Degree|Higher Education
UGC-60-791,Apex university,Private,UGC 2(f),Unranked,Rajasthan,,India,"Jaipur, Rajasthan 303002",,3.9,0,0,University|Degree|Higher Education
UGC-61-453,Arka Jain University,Private,UGC 2(f),Unranked,Jharkhand,,India,"Mohanpur, Gamharia , Dist- Seraikela KharsawanMohanpur,Gamharia, Dist. Seraikela Kharsawan 832108",,4.3,0,0,University|Degree|Higher Education
UGC-62-484,Arni University,Private,UGC 2(f),Unranked,Himachal Pradesh,,India,"Karthgarh, Tehsil, Indore,  Distt. Kangra 176401",,4,0,0,University|Degree|Higher Education
UGC-63-763,Arunachal Pradesh University,State University,UGC 2(f),Unranked,Arunachal Pradesh,,India,Pasighat 791102,,4.2,0,0,University|Degree|Higher Education
UGC-64-747,Arunachal University of Studies,Private,UGC 2(f),Unranked,Arunachal Pradesh,,India,"NH-52, Knowledge City, Distt., Namsai 792103",,4.6,0,0,University|Degree|Higher Education
UGC-65-769,Arunodaya University,Private,UGC 2(f),Unranked,Arunachal Pradesh,,India,"Lekhi Village, Naharlagun, Itanagar, Distt. Papum Pare 791109",,4.7,0,0,University|Degree|Higher Education
UGC-66-237,Aryabhatta Knowledge University,State University,UGC 2(f),Unranked,Bihar,,India,"Chanakya National Law University Campus, Mithapur, Patna 800001",,4.2,0,0,University|Degree|Higher Education
UGC-67-303,Aryavart University,Private,UGC 2(f),Unranked,Madhya Pradesh,,India,"National Highway-46,  Jharkheda, Tehsil-Shyampur, Sehore 466001",,4.2,0,0,University|Degree|Higher Education
UGC-68-873,ASBM University,Private,UGC 2(f),Unranked,Odisha,,India,"Shiksha Vihar,PO-Bhola, Chandaka,Dist-Khurdha, Bhubaneswar 754012",,4,0,0,University|Degree|Higher Education
UGC-69-693,Ashoka University,Private,UGC 2(f) & 12(B),Unranked,Haryana,,India,"Plot No. 2, Rajiv Gandhi Education City,Kundli, NCR Sonepat 131028",,3.8,0,0,University|Degree|Higher Education
UGC-70-323,Asian International University,Private,UGC 2(f),Unranked,Manipur,,India,"Ghari, Awang Leikai,Dist- Imphal West 795140",,4.1,0,0,University|Degree|Higher Education
UGC-71-903,Assam Agricultural University,State University,UGC 2(f) & 12(B),Unranked,Assam,,India,"Nowchaliah Gaon,Jorhat 785013",,4.3,0,0,University|Degree|Higher Education
UGC-72-635,Assam Don Bosco University,Private,UGC 2(f) & 12(B),Unranked,Assam,,India,"Azara, Guwahati 781017",,4.4,0,0,University|Degree|Higher Education
UGC-73-949,Assam Down Town University,Private,UGC 2(f) & 12(B),Unranked,Assam,,India,"Sankar Madhab Path, Gandhinagar, Panikhaiti, Guwahati 781026",,4.1,0,0,University|Degree|Higher Education
UGC-74-148,Assam Rajiv Gandhi University of Co-operative Management,State University,UGC 2(f),Unranked,Assam,,India,"Basic tiniali, gadaghar nagar,Joysagar, Dicial Dhulia Gaon,Sivasagar, Guwahati 785665",,4.6,0,0,University|Degree|Higher Education
UGC-75-261,Assam Science & Technology University,State University,UGC 2(f),Unranked,Assam,,India,"Tetelia Road, jalukbari, Guwahati 781013",,4.8,0,0,University|Degree|Higher Education
UGC-76-26,Assam Skill University,State University,UGC 2(f),Unranked,Assam,,India,"Mangaldoi, Dist. Darrang 784125",,3.9,0,0,University|Degree|Higher Education
UGC-77-591,Assam University,Central University,UGC 2(f) & 12(B),Unranked,Assam,,India,"Silchar, Dargakona, Cachar 788001",,4.6,0,0,University|Degree|Higher Education
UGC-78-504,Assam Veterinary and Fishery University,State University,UGC 2(f),Unranked,Assam,,India,"Khanapara, Guwahati, 781022",,3.9,0,0,University|Degree|Higher Education
UGC-79-354,Assam Women's University,State University,UGC 2(f),Unranked,Assam,,India,"Jamuguri, Rowriah, Jorhat 785004",,4.1,0,0,University|Degree|Higher Education
UGC-80-689,Atal Bihari Bajpayee Vishwavidyalaya (Formerly Bilaspur Vishwavidyalaya),State University,UGC 2(f) & 12(B),Unranked,Chhattisgarh,,India,"In front of Koni Police StationBilaspur- Ratanpur Road, Koni, Bilaspur(CG) 495009",,3.9,0,0,University|Degree|Higher Education
